MatchID,Date,PlayerName,Team,Opponent,Position,TotalRaids,SuccessfulRaids,TotalTackles,SuccessfulTackles,RaidPoints,TacklePoints,MatchDuration,RaidSuccessRate,TackleSuccessRate,PointsScored,Injuries,YellowCards,RedCards,MatchResult,TeamPoints,OpponentPoints,MVP,DateOfBirth,PlayerAge,PlayerNationality,MatchLocation,HomeOrAway,TeamRank,WinStreak,LossStreak,PlayerExperience,TotalMatchesPlayed,IsAllRounder
11,2023-08-14,Parvesh Bhainswal,Gujarat Fortunegiants,U Mumba,Raider,18,15,7,2,15,4,38,83.33,28.57,19,0,0,1,Loss,40,24,Parvesh Bhainswal,2003-05-06,22,Nepal,Ahmedabad,Home,8,2,2,10,40,False
12,2022-01-11,Vinod Kumar,Gujarat Fortunegiants,Telugu Titans,Defender,19,5,8,0,5,0,30,26.32,0.0,5,3,0,1,Win,26,26,N/A,1999-10-08,25,India,Kolkata,Away,11,4,0,13,22,False
13,2021-06-09,Nitin Rawal,Jaipur Pink Panthers,Hariyana Steelers,Raider,23,6,9,5,6,10,39,26.09,55.56,16,3,0,1,Win,38,23,Nitin Rawal,1987-11-24,37,Bangladesh,Hyderabad,Away,2,5,4,3,21,False
14,2025-01-15,Sahil Gulia,Tamil Thalaivas,Hariyana Steelers,Defender,5,5,9,5,5,10,47,100.0,55.56,15,2,0,1,Loss,27,30,Sahil Gulia,1995-12-24,29,Pakistan,Kolkata,Away,6,4,5,7,99,False
15,2021-04-08,Harendra,U Mumba,Jaipur Pink Panthers,Defender,22,4,8,6,4,12,46,18.18,75.0,16,3,0,0,Loss,35,20,N/A,1998-09-02,26,India,Hyderabad,Away,3,2,0,9,49,False
16,2018-12-23,Rajnish,Telugu Titans,Hariyana Steelers,Raider,16,8,4,2,8,4,35,50.0,50.0,12,2,0,0,Loss,36,20,Rajnish,2000-03-22,25,Pakistan,Bengaluru,Away,11,3,0,14,61,False
17,2021-03-17,Ajinkya Pawar,Tamil Thalaivas,Patna Pirates,Raider,11,11,6,3,11,6,58,100.0,50.0,17,1,1,0,Loss,26,28,Ajinkya Pawar,1999-12-22,25,Sri Lanka,Jaipur,Away,11,1,0,11,96,False
18,2019-09-25,Meetu Sharma,Hariyana Steelers,Gujarat Fortunegiants,Defender,13,3,15,12,3,24,43,23.08,80.0,27,3,1,1,Win,28,20,N/A,1995-09-28,29,India,Ahmedabad,Away,5,5,3,15,100,False
19,2024-06-26,Durgesh,Telugu Titans,UP Yoddha,Raider,19,8,8,8,8,16,37,42.11,100.0,24,2,1,1,Win,20,29,N/A,1991-09-10,33,Nepal,Kolkata,Away,4,4,3,14,31,False
20,2023-10-22,Sandeep Kumar,Dabang Delhi,Bengal Warriors,Raider,25,4,14,9,4,18,30,16.0,64.29,22,1,1,0,Loss,32,27,Sandeep Kumar,1997-10-04,27,Sri Lanka,Jaipur,Away,7,0,2,9,69,False
21,2023-04-13,Ajinkya Pawar,Tamil Thalaivas,U Mumba,All-Rounder,23,12,11,7,12,14,48,52.17,63.64,26,0,0,1,Win,20,25,Ajinkya Pawar,1997-04-14,28,Nepal,Chandigarh,Away,7,1,4,3,94,False
22,2020-12-13,Adarsh T,Telugu Titans,Jaipur Pink Panthers,Raider,6,2,13,9,2,18,44,33.33,69.23,20,1,1,1,Win,26,31,N/A,1987-03-01,38,India,Jaipur,Away,5,0,3,5,47,False
23,2025-05-21,Siddhant Bhosale,U Mumba,UP Yoddha,All-Rounder,14,3,4,0,3,0,38,21.43,0.0,3,1,0,0,Loss,24,19,N/A,1984-10-27,40,Pakistan,Delhi,Away,7,4,2,11,66,False
24,2020-08-03,M Abishek,Tamil Thalaivas,Jaipur Pink Panthers,Defender,23,23,8,5,23,10,44,100.0,62.5,33,0,0,0,Win,36,31,M Abishek,1987-08-30,37,Sri Lanka,Jaipur,Away,8,1,1,5,29,False
25,2020-06-16,Manjeet,Dabang Delhi,Patna Pirates,Defender,13,13,10,3,13,6,60,100.0,30.0,19,1,1,0,Win,28,32,N/A,2005-01-21,20,Pakistan,Lucknow,Away,3,1,3,14,46,False
26,2021-05-02,Sunil,Hariyana Steelers,Gujarat Fortunegiants,All-Rounder,10,6,12,0,6,0,56,60.0,0.0,6,1,1,0,Loss,30,15,Sunil,2002-03-03,23,Sri Lanka,Hyderabad,Away,9,5,2,15,59,False
27,2023-12-01,Ravinder,Patna Pirates,Bengal Warriors,Raider,14,4,8,2,4,4,44,28.57,25.0,8,1,1,0,Loss,34,23,N/A,1992-07-23,32,India,Delhi,Away,12,3,1,6,66,False
28,2022-07-16,Balaji D,Bengal Warriors,Tamil Thalaivas,Defender,12,12,13,1,12,2,44,100.0,7.69,14,3,1,0,Loss,40,24,Balaji D,1992-04-18,33,Bangladesh,Chandigarh,Away,8,4,5,8,41,False
29,2019-06-11,Vishal,Dabang Delhi,Hariyana Steelers,Defender,10,1,7,3,1,6,49,10.0,42.86,7,2,1,0,Loss,38,33,N/A,1994-07-19,30,Pakistan,Delhi,Home,6,3,5,6,41,False
30,2022-01-01,Rahul Chaudhari,Jaipur Pink Panthers,UP Yoddha,All-Rounder,22,2,12,9,2,18,60,9.09,75.0,20,3,0,1,Loss,31,26,Rahul Chaudhari,1993-02-21,32,Sri Lanka,Bengaluru,Away,6,0,1,5,56,False
31,2023-10-26,Pawan Sehrawat,Telugu Titans,Gujarat Fortunegiants,All-Rounder,5,4,13,6,4,12,35,80.0,46.15,16,3,1,0,Win,33,26,Pawan Sehrawat,1988-11-06,36,Bangladesh,Lucknow,Away,5,2,5,6,34,False
32,2018-12-15,Harsh,Hariyana Steelers,Dabang Delhi,All-Rounder,8,4,11,7,4,14,48,50.0,63.64,18,2,1,0,Win,23,29,N/A,1985-08-30,39,Sri Lanka,Lucknow,Away,2,5,2,13,61,False
33,2025-04-25,K. Prapanjan,Tamil Thalaivas,Patna Pirates,Defender,15,12,9,5,12,10,53,80.0,55.56,22,1,0,1,Loss,26,35,K. Prapanjan,2003-09-02,21,Nepal,Kolkata,Away,7,5,2,15,53,False
34,2024-08-30,K. Shanmugam,Gujarat Fortunegiants,Patna Pirates,All-Rounder,8,1,11,1,1,2,34,12.5,9.09,3,2,0,0,Loss,29,29,K. Shanmugam,1992-04-28,33,Sri Lanka,Bengaluru,Away,10,2,4,8,67,False
35,2018-04-27,Ravi Kumar,Dabang Delhi,Telugu Titans,All-Rounder,19,5,10,2,5,4,47,26.32,20.0,9,2,0,0,Win,29,15,N/A,1986-02-18,39,Pakistan,Mumbai,Away,8,5,4,15,70,False
36,2023-01-26,Naresh,Hariyana Steelers,UP Yoddha,Raider,11,1,10,5,1,10,47,9.09,50.0,11,0,0,0,Loss,39,27,N/A,1988-08-03,36,Pakistan,Patna,Away,3,5,0,15,31,False
37,2024-05-20,Shubham Shinde,Bengal Warriors,Telugu Titans,Defender,21,20,9,0,20,0,48,95.24,0.0,20,0,0,0,Win,23,22,N/A,1996-08-20,28,Pakistan,Patna,Away,6,5,1,6,36,False
38,2018-12-05,Rajveer,Patna Pirates,Telugu Titans,Defender,15,3,8,7,3,14,34,20.0,87.5,17,3,0,0,Loss,34,27,Rajveer,1995-01-21,30,Bangladesh,Jaipur,Away,3,5,0,9,86,False
39,2022-08-17,Soleiman Pahlevani,Bengal Warriors,Tamil Thalaivas,Defender,13,3,15,2,3,4,58,23.08,13.33,7,1,0,1,Win,27,25,N/A,1985-05-28,40,India,Chennai,Away,4,5,5,11,77,False
40,2023-04-16,Ankush,U Mumba,Gujarat Fortunegiants,Defender,6,3,13,8,3,16,31,50.0,61.54,19,3,1,1,Win,22,20,Ankush,1992-09-22,32,India,Mumbai,Home,1,1,3,14,90,False
41,2023-05-19,Sagar,Tamil Thalaivas,Hariyana Steelers,Defender,22,22,12,1,22,2,42,100.0,8.33,24,2,0,0,Loss,33,19,N/A,1992-11-07,32,India,Delhi,Away,5,3,3,13,23,False
42,2019-10-04,Surender Nada,Patna Pirates,Gujarat Fortunegiants,Raider,21,2,6,2,2,4,41,9.52,33.33,6,2,1,1,Win,36,26,Surender Nada,1996-11-19,28,Bangladesh,Delhi,Away,2,4,4,14,25,False
43,2024-05-25,Ankit,Patna Pirates,Jaipur Pink Panthers,Defender,17,7,11,7,7,14,59,41.18,63.64,21,1,0,0,Win,31,16,N/A,1992-11-18,32,Sri Lanka,Patna,Home,6,2,1,4,41,False
44,2022-03-12,Soleiman Pahlevani,Bengal Warriors,Hariyana Steelers,Raider,8,1,7,2,1,4,36,12.5,28.57,5,3,0,0,Win,40,18,Soleiman Pahlevani,1984-09-21,40,Sri Lanka,Bengaluru,Away,9,0,1,6,81,False
45,2022-08-31,Rakesh,Gujarat Fortunegiants,Hariyana Steelers,Defender,6,6,9,4,6,8,39,100.0,44.44,14,2,1,0,Win,23,18,N/A,1987-05-25,38,Pakistan,Mumbai,Away,5,1,2,15,40,False
46,2023-07-14,Siddharth,Gujarat Fortunegiants,Bengal Warriors,Raider,5,0,5,2,0,4,59,0.0,40.0,4,3,1,1,Win,26,28,N/A,1985-09-20,39,India,Lucknow,Away,6,2,4,11,42,False
47,2018-02-22,Mohit Nandal,Hariyana Steelers,Tamil Thalaivas,All-Rounder,11,8,5,3,8,6,58,72.73,60.0,14,3,1,0,Win,27,35,Mohit Nandal,2004-12-20,20,Bangladesh,Chandigarh,Home,5,0,3,5,45,False
48,2023-01-19,Rajesh Narwal,Hariyana Steelers,Tamil Thalaivas,Raider,8,3,11,8,3,16,50,37.5,72.73,19,2,0,1,Win,26,34,N/A,2001-12-07,23,Nepal,Patna,Away,12,2,1,12,42,False
49,2023-10-13,Monu,Patna Pirates,Dabang Delhi,Defender,6,3,10,7,3,14,49,50.0,70.0,17,3,1,0,Loss,24,23,Monu,1996-02-20,29,Sri Lanka,Bengaluru,Away,8,4,1,5,76,False
50,2024-05-26,Nehal,UP Yoddha,Bengal Warriors,Raider,20,3,10,4,3,8,37,15.0,40.0,11,0,0,0,Loss,34,19,Nehal,1991-03-03,34,India,Patna,Away,6,0,1,10,87,False
51,2021-09-18,Siddharth Desai,Telugu Titans,Bengal Warriors,Raider,24,17,14,14,17,28,57,70.83,100.0,45,1,1,1,Win,21,32,Siddharth Desai,2002-11-13,22,Sri Lanka,Delhi,Away,7,3,3,7,70,False
52,2019-12-01,Abhishek Singh,Telugu Titans,Gujarat Fortunegiants,All-Rounder,25,13,11,3,13,6,39,52.0,27.27,19,0,1,1,Loss,28,22,N/A,1999-05-31,26,Bangladesh,Chandigarh,Away,10,5,4,15,77,False
53,2019-05-10,Rakesh Narwal,Hariyana Steelers,Dabang Delhi,Raider,23,22,14,1,22,2,46,95.65,7.14,24,2,0,0,Win,28,16,Rakesh Narwal,1995-10-26,29,Pakistan,Bengaluru,Away,8,1,4,7,63,False
54,2021-08-16,Parshant Kumar,Bengal Warriors,Telugu Titans,Raider,16,4,4,4,4,8,46,25.0,100.0,12,3,0,1,Loss,39,21,N/A,1986-02-10,39,India,Chennai,Away,4,2,4,7,79,False
55,2018-07-02,Rajveer,Patna Pirates,UP Yoddha,Raider,15,13,8,0,13,0,54,86.67,0.0,13,1,1,1,Win,34,27,Rajveer,1999-08-09,25,Sri Lanka,Ahmedabad,Away,7,2,0,14,72,False
56,2025-04-20,Ankit Jaglan,Gujarat Fortunegiants,Bengal Warriors,Raider,25,23,15,1,23,2,57,92.0,6.67,25,1,1,1,Win,35,17,N/A,1992-10-26,32,Pakistan,Chennai,Away,3,2,5,13,20,False
57,2020-07-07,Shubham Kumar,UP Yoddha,Dabang Delhi,Raider,8,7,13,12,7,24,45,87.5,92.31,31,3,0,1,Loss,33,22,Shubham Kumar,1989-10-25,35,Nepal,Chandigarh,Away,3,1,1,10,48,False
58,2023-07-10,Neeraj Narwal,Dabang Delhi,Hariyana Steelers,Defender,25,13,11,3,13,6,41,52.0,27.27,19,3,1,0,Loss,39,15,Neeraj Narwal,1992-09-25,32,Nepal,Delhi,Home,9,4,4,3,28,False
59,2024-06-04,Vinay,Telugu Titans,Dabang Delhi,Raider,17,9,13,7,9,14,40,52.94,53.85,23,2,1,1,Loss,39,21,Vinay,2005-03-20,20,Sri Lanka,Delhi,Away,4,5,5,11,20,False
60,2023-01-28,Ankit Jaglan,Gujarat Fortunegiants,Hariyana Steelers,Raider,16,12,9,5,12,10,44,75.0,55.56,22,3,0,0,Loss,34,18,Ankit Jaglan,2003-08-17,21,Nepal,Bengaluru,Away,8,5,4,4,86,False
61,2022-01-02,Sahil,Hariyana Steelers,Gujarat Fortunegiants,Defender,22,5,12,2,5,4,39,22.73,16.67,9,3,0,1,Loss,28,19,N/A,1999-03-13,26,Pakistan,Hyderabad,Away,5,5,5,12,37,False
62,2022-12-05,Lucky Sharma,Jaipur Pink Panthers,Tamil Thalaivas,Raider,23,14,6,6,14,12,57,60.87,100.0,26,3,0,0,Win,39,27,Lucky Sharma,1991-08-21,33,Bangladesh,Bengaluru,Away,11,2,3,7,38,False
63,2024-10-08,Naresh,Hariyana Steelers,Telugu Titans,Raider,17,9,12,2,9,4,50,52.94,16.67,13,0,0,0,Loss,37,34,N/A,2004-03-01,21,Pakistan,Hyderabad,Away,9,0,5,8,20,False
64,2018-10-21,Devank,Jaipur Pink Panthers,U Mumba,Raider,10,0,7,7,0,14,55,0.0,100.0,14,1,1,0,Loss,33,19,N/A,1988-03-10,37,India,Hyderabad,Away,1,1,3,15,20,False
65,2018-02-18,Ujjval,Jaipur Pink Panthers,Hariyana Steelers,Defender,6,0,7,1,0,2,46,0.0,14.29,2,0,1,1,Win,28,25,N/A,1987-03-20,38,Bangladesh,Jaipur,Home,12,5,0,4,88,False
66,2021-10-25,Sahil Gulia,Tamil Thalaivas,U Mumba,Defender,23,20,10,6,20,12,46,86.96,60.0,32,1,1,1,Win,30,23,Sahil Gulia,2001-08-29,23,Sri Lanka,Hyderabad,Away,11,5,5,11,45,False
67,2023-04-23,Vikas Jaglan,Patna Pirates,Jaipur Pink Panthers,All-Rounder,12,8,8,1,8,2,38,66.67,12.5,10,3,0,1,Win,23,23,Vikas Jaglan,1996-04-01,29,Pakistan,Bengaluru,Away,9,1,3,5,77,False
68,2018-03-01,Mohit Nandal,Hariyana Steelers,UP Yoddha,All-Rounder,23,23,13,13,23,26,31,100.0,100.0,49,0,1,0,Win,37,31,N/A,2003-12-24,21,India,Kolkata,Away,11,5,1,10,20,True
69,2021-02-22,Mehul Kumar,Gujarat Fortunegiants,Tamil Thalaivas,Defender,6,5,10,0,5,0,39,83.33,0.0,5,2,1,0,Loss,21,19,N/A,1989-11-05,35,India,Ahmedabad,Home,5,2,4,5,24,False
70,2022-05-05,Vinay,Telugu Titans,Bengal Warriors,Defender,7,6,11,10,6,20,45,85.71,90.91,26,3,0,0,Loss,20,19,N/A,1984-09-20,40,Bangladesh,Chennai,Away,6,5,0,6,64,False
71,2022-01-12,Vinod Kumar,Gujarat Fortunegiants,Dabang Delhi,Defender,12,1,5,5,1,10,45,8.33,100.0,11,1,0,0,Win,20,30,Vinod Kumar,1989-06-10,35,Sri Lanka,Patna,Away,5,3,4,13,26,False
72,2025-01-26,Reza Katoulinezhad,Jaipur Pink Panthers,UP Yoddha,Defender,10,1,8,6,1,12,42,10.0,75.0,13,3,0,0,Loss,20,16,N/A,1992-11-22,32,Nepal,Ahmedabad,Away,5,4,4,3,99,False
73,2024-07-30,Heidarali Ekrami,U Mumba,Gujarat Fortunegiants,All-Rounder,11,10,12,3,10,6,32,90.91,25.0,16,0,1,1,Loss,32,35,Heidarali Ekrami,1990-01-09,35,Pakistan,Jaipur,Away,8,0,3,4,29,False
74,2025-01-29,Karamvir,Patna Pirates,UP Yoddha,Defender,18,3,3,1,3,2,53,16.67,33.33,5,1,1,0,Loss,31,18,Karamvir,1991-11-01,33,Pakistan,Patna,Home,5,2,4,11,98,False
75,2019-08-27,Akash Pikalmunde,Bengal Warriors,Tamil Thalaivas,All-Rounder,15,9,13,10,9,20,53,60.0,76.92,29,2,1,1,Win,27,19,Akash Pikalmunde,2001-06-06,23,Sri Lanka,Jaipur,Away,12,0,3,8,73,False
76,2023-05-14,Kapil,Dabang Delhi,Patna Pirates,Defender,19,1,12,9,1,18,38,5.26,75.0,19,3,0,0,Loss,23,16,Kapil,1988-04-16,37,Pakistan,Jaipur,Away,11,2,2,15,64,False
77,2019-11-20,Prashanth Kumar Rai,Patna Pirates,Hariyana Steelers,All-Rounder,19,1,7,7,1,14,54,5.26,100.0,15,2,0,0,Win,32,17,N/A,1996-01-29,29,Sri Lanka,Mumbai,Away,3,1,2,12,71,False
78,2018-03-06,Nitesh Kumar,UP Yoddha,U Mumba,All-Rounder,25,13,6,4,13,8,54,52.0,66.67,21,1,1,0,Loss,34,30,N/A,1988-07-22,36,Nepal,Patna,Away,5,0,2,6,31,False
79,2019-12-20,Neeraj Narwal,Dabang Delhi,Telugu Titans,All-Rounder,8,1,9,7,1,14,54,12.5,77.78,15,2,0,0,Win,20,23,Neeraj Narwal,1987-04-03,38,Sri Lanka,Jaipur,Away,4,2,1,14,72,False
80,2019-07-26,Rohit Banne,Bengal Warriors,U Mumba,Raider,8,7,13,5,7,10,58,87.5,38.46,17,3,1,1,Win,29,18,N/A,1998-12-27,26,Nepal,Delhi,Away,10,4,3,7,53,False
81,2019-11-19,Prince,U Mumba,Bengal Warriors,All-Rounder,19,2,15,10,2,20,38,10.53,66.67,22,2,0,1,Loss,32,22,Prince,2001-04-23,24,Sri Lanka,Hyderabad,Away,8,3,2,9,40,False
82,2024-02-26,Ajith Kumar,Jaipur Pink Panthers,Gujarat Fortunegiants,All-Rounder,7,5,9,5,5,10,39,71.43,55.56,15,2,0,0,Win,20,28,Ajith Kumar,1990-08-30,34,Sri Lanka,Patna,Away,7,1,4,10,46,False
83,2018-08-19,Ankush,U Mumba,Gujarat Fortunegiants,All-Rounder,15,2,6,6,2,12,30,13.33,100.0,14,1,0,0,Loss,22,34,N/A,1985-11-15,39,Sri Lanka,Hyderabad,Away,5,3,0,13,96,False
84,2023-10-30,Mohit Nandal,Hariyana Steelers,Dabang Delhi,All-Rounder,9,3,13,3,3,6,57,33.33,23.08,9,2,0,1,Win,32,31,Mohit Nandal,1987-08-23,37,Bangladesh,Chandigarh,Home,7,4,2,13,87,False
85,2025-04-02,Maninder Singh,Bengal Warriors,Jaipur Pink Panthers,All-Rounder,25,7,14,4,7,8,54,28.0,28.57,15,3,1,1,Win,37,26,Maninder Singh,1990-08-11,34,Bangladesh,Lucknow,Away,7,5,0,7,56,False
86,2022-02-26,Sachin Narwal,Gujarat Fortunegiants,Jaipur Pink Panthers,Defender,17,8,11,2,8,4,38,47.06,18.18,12,3,1,0,Win,25,16,N/A,1995-02-27,30,Nepal,Jaipur,Away,1,4,5,5,82,False
87,2021-02-13,Sahul Kumar,Jaipur Pink Panthers,Tamil Thalaivas,All-Rounder,23,16,5,1,16,2,50,69.57,20.0,18,2,1,0,Loss,28,31,Sahul Kumar,1989-11-02,35,India,Bengaluru,Away,7,3,4,7,30,False
88,2019-02-24,M Abishek,Tamil Thalaivas,Hariyana Steelers,Defender,6,5,10,0,5,0,57,83.33,0.0,5,3,0,0,Win,36,35,M Abishek,1989-12-29,35,Sri Lanka,Chennai,Home,8,3,0,9,61,False
89,2021-12-11,Anil,Dabang Delhi,Telugu Titans,Defender,16,1,5,0,1,0,40,6.25,0.0,1,0,0,1,Loss,39,34,N/A,1993-11-13,31,Pakistan,Mumbai,Away,7,1,0,3,77,False
90,2020-12-14,Akash Pikalmunde,Bengal Warriors,U Mumba,Defender,15,14,15,5,14,10,56,93.33,33.33,24,2,0,0,Loss,38,15,Akash Pikalmunde,1990-04-17,35,Pakistan,Mumbai,Away,5,2,2,11,20,False
91,2025-03-02,Siddharth Desai,Telugu Titans,UP Yoddha,Raider,12,12,11,6,12,12,43,100.0,54.55,24,1,0,0,Win,24,17,Siddharth Desai,1999-05-28,26,Sri Lanka,Bengaluru,Away,7,3,5,3,49,False
92,2018-06-03,K. Prapanjan,Tamil Thalaivas,U Mumba,Defender,8,5,3,2,5,4,60,62.5,66.67,9,2,1,0,Loss,39,21,N/A,2000-12-05,24,India,Ahmedabad,Away,3,2,4,9,41,False
93,2022-08-19,Shivansh Thakur,U Mumba,Dabang Delhi,All-Rounder,10,2,3,3,2,6,43,20.0,100.0,8,0,0,0,Loss,31,18,N/A,1987-06-23,37,Nepal,Hyderabad,Away,2,1,1,11,71,False
94,2024-05-20,Maninder Singh,Bengal Warriors,UP Yoddha,Raider,18,3,13,13,3,26,38,16.67,100.0,29,2,0,0,Win,29,31,Maninder Singh,1995-02-07,30,Bangladesh,Ahmedabad,Away,9,2,4,3,75,False
95,2022-09-13,Sunil,Hariyana Steelers,Dabang Delhi,All-Rounder,17,7,10,4,7,8,44,41.18,40.0,15,1,1,0,Loss,22,21,Sunil,2003-08-08,21,India,Delhi,Away,4,5,5,11,72,False
96,2022-07-15,Ankit,UP Yoddha,Patna Pirates,Raider,24,17,3,0,17,0,51,70.83,0.0,17,3,0,1,Win,39,22,N/A,1997-12-01,27,India,Mumbai,Away,2,3,5,6,32,False
97,2020-11-22,Dipak,Dabang Delhi,UP Yoddha,Defender,7,7,10,8,7,16,32,100.0,80.0,23,2,0,1,Win,30,19,N/A,2001-11-17,23,India,Bengaluru,Away,10,2,2,11,41,False
98,2018-12-26,Dipak,Dabang Delhi,Tamil Thalaivas,All-Rounder,5,4,15,8,4,16,44,80.0,53.33,20,1,1,0,Win,40,19,N/A,1992-02-12,33,Pakistan,Chandigarh,Away,4,3,3,3,68,False
99,2022-06-04,Siddhant Bhosale,U Mumba,Tamil Thalaivas,All-Rounder,20,3,7,2,3,4,48,15.0,28.57,7,1,1,0,Win,38,17,N/A,1993-11-17,31,Bangladesh,Chennai,Away,3,5,4,13,99,False
100,2022-01-18,Ajinkya Pawar,Tamil Thalaivas,Bengal Warriors,Defender,15,7,15,3,7,6,55,46.67,20.0,13,2,1,0,Win,34,17,N/A,1995-10-22,29,Pakistan,Patna,Away,10,1,1,7,67,False
101,2022-03-28,Arpit Saroha,Tamil Thalaivas,Dabang Delhi,Defender,13,1,4,0,1,0,52,7.69,0.0,1,3,1,0,Loss,30,29,N/A,1992-04-30,33,Pakistan,Bengaluru,Away,4,2,0,14,95,False
102,2023-01-19,Maninder Singh,Bengal Warriors,Patna Pirates,All-Rounder,15,3,13,3,3,6,51,20.0,23.08,9,3,1,0,Win,38,16,Maninder Singh,1986-12-11,38,Bangladesh,Bengaluru,Away,2,3,5,11,93,False
103,2022-04-22,Mahendra Rajput,Gujarat Fortunegiants,UP Yoddha,All-Rounder,5,2,10,3,2,6,38,40.0,30.0,8,3,1,0,Win,24,28,N/A,2001-08-12,23,Bangladesh,Mumbai,Away,11,5,3,6,44,False
104,2018-12-04,Rohit Gulia,Patna Pirates,Dabang Delhi,Raider,25,8,13,7,8,14,59,32.0,53.85,22,0,0,1,Loss,32,19,Rohit Gulia,1985-03-23,40,Nepal,Ahmedabad,Away,2,3,2,4,21,False
105,2025-01-22,Mujtaba,Telugu Titans,Bengal Warriors,All-Rounder,6,2,5,4,2,8,45,33.33,80.0,10,2,0,1,Loss,38,16,N/A,1986-07-03,38,India,Ahmedabad,Away,12,3,1,7,36,False
106,2025-03-13,Hamid Nader,Telugu Titans,Bengal Warriors,All-Rounder,14,9,11,11,9,22,35,64.29,100.0,31,0,0,0,Loss,40,19,N/A,2003-05-15,22,Nepal,Ahmedabad,Away,12,1,3,15,50,False
107,2020-04-27,Abozar Mighani,UP Yoddha,Bengal Warriors,Defender,12,2,6,5,2,10,34,16.67,83.33,12,1,1,0,Win,22,29,Abozar Mighani,1985-07-18,39,Sri Lanka,Jaipur,Away,10,0,5,5,56,False
108,2020-01-20,Siddharth Desai,Telugu Titans,Jaipur Pink Panthers,Raider,14,0,14,9,0,18,44,0.0,64.29,18,1,0,0,Win,33,20,N/A,1988-03-23,37,Pakistan,Ahmedabad,Away,7,1,1,10,95,False
109,2024-10-19,Naveen Kumar,Dabang Delhi,Telugu Titans,All-Rounder,16,15,11,7,15,14,59,93.75,63.64,29,1,1,0,Win,28,22,N/A,2000-03-24,25,Nepal,Delhi,Home,11,4,2,11,36,False
110,2023-03-30,Neeraj Narwal,Dabang Delhi,Hariyana Steelers,Defender,20,3,14,3,3,6,31,15.0,21.43,9,0,1,1,Loss,28,31,Neeraj Narwal,2002-01-04,23,Pakistan,Kolkata,Away,3,3,2,7,68,False
111,2022-10-13,Anil,Dabang Delhi,Patna Pirates,All-Rounder,20,13,11,4,13,8,54,65.0,36.36,21,0,0,0,Loss,35,23,N/A,1992-11-11,32,India,Patna,Away,3,4,3,12,69,False
112,2023-07-30,Vishal Bhardwaj,Tamil Thalaivas,Hariyana Steelers,Defender,22,11,13,1,11,2,52,50.0,7.69,13,2,1,1,Win,31,31,N/A,1992-08-22,32,Nepal,Kolkata,Away,11,3,0,7,99,False
